,SubjectName,ConstructName,QuestionText,AnswerText,MisconceptionId,MisconceptionName
0,Expanding Single Brackets,Multiply a single term over a bracket where the term on the outside contains a letter and the inside contains a linear expression,Multiply out the brackets: \( m(m-2) \),\( 2 m-2 m \),577.0,Does not realise multiplying a variable by itself results in a power of that variable
1,Expanding Single Brackets,Multiply a single term over a bracket where the term on the outside contains a letter and the inside contains a linear expression,Multiply out the brackets: \( m(m-2) \),\( m^{2}-2 \),220.0,Only multiplies the first term in the expansion of a bracket
2,BIDMAS,Use the order of operations to carry out calculations involving brackets,\( 4+12 \div(2+2)= \),\( 10 \),1507.0,Carries out operations from left to right regardless of priority order
3,BIDMAS,Use the order of operations to carry out calculations involving brackets,\( 4+12 \div(2+2)= \),\( 12 \),2488.0,Answers order of operations questions with brackets as if the brackets are not there
4,BIDMAS,Use the order of operations to carry out calculations involving brackets,\( 4+12 \div(2+2)= \),\( 4 \),1862.0,Performs addition ahead of division
5,Other Sequences,Identify triangular numbers,"\( 1,3,6,10,15,21,28 \ldots \) What is the name commonly given to this sequence of numbers?",The cube numbers,2489.0,Thinks cube numbers are triangular numbers
6,Other Sequences,Identify triangular numbers,"\( 1,3,6,10,15,21,28 \ldots \) What is the name commonly given to this sequence of numbers?",The Fibonacci numbers,2296.0,Believes Fibonacci numbers are triangle numbers
7,Other Sequences,Identify triangular numbers,"\( 1,3,6,10,15,21,28 \ldots \) What is the name commonly given to this sequence of numbers?",The square numbers,1882.0,Believes square numbers are triangle numbers
8,Multiplying and Dividing Negative Numbers,Carry out missing number multiplication problems involving negative integers,"What should replace the star?

\(
(-6) \times \color{gold}\bigstar \color{black} =-8
\)",\( \frac{6}{8} \),1.0,Uses dividing fractions method for multiplying fractions
9,Multiplying and Dividing Negative Numbers,Carry out missing number multiplication problems involving negative integers,"What should replace the star?

\(
(-6) \times \color{gold}\bigstar \color{black} =-8
\)",\( -\frac{8}{6} \),1597.0,Believes multiplying two negatives gives a negative answer
10,Angles in Polygons,Work out the size of each interior angle in a regular polygon,"Tom and Katie are discussing how to calculate the size of each interior angle in a regular \( 20 \) sided shape

Tom says you can do \( \frac{18 \times 180}{20} \)

Katie says you can do \( 180-\frac{360}{20} \)

Who is correct?",Only Tom,1406.0,Does not recognise that interior and exterior angles are supplementary
11,Angles in Polygons,Work out the size of each interior angle in a regular polygon,"Tom and Katie are discussing how to calculate the size of each interior angle in a regular \( 20 \) sided shape

Tom says you can do \( \frac{18 \times 180}{20} \)

Katie says you can do \( 180-\frac{360}{20} \)

Who is correct?",Only Katie,405.0,Believes the only way to find the interior angle of a regular polygon is to subtract the exterior angle from 180.
12,BIDMAS,"Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division",\( 3+6 \div 2+1= \),\( 3 \),15.0,"Confuses the order of operations, believes addition comes before division"
13,BIDMAS,"Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division",\( 3+6 \div 2+1= \),\( 5.5 \),1507.0,Carries out operations from left to right regardless of priority order
14,Adding and Subtracting with Decimals,Subtract decimals where the numbers involved have a different number of decimal places,\( 0.51-0.202= \),\( 0.151 \),1510.0,Believes subtraction is commutative 
15,Adding and Subtracting with Decimals,Subtract decimals where the numbers involved have a different number of decimal places,\( 0.51-0.202= \),\( 0.312 \),1795.0,"Believes you subtract the smaller digit from the larger digit in column subtraction, regardless of position"
16,Adding and Subtracting with Decimals,Subtract decimals where the numbers involved have a different number of decimal places,\( 0.51-0.202= \),\( 0.318 \),699.0,"When “borrowing” during a subtraction problem, does not subtract one from the preceding digit"
17,Converting between Fractions and Percentages,Convert fractions to two digit integer percentages,"Convert this fraction to a percentage
\( \frac{4}{5} \)",\( 45 \% \),1786.0,Converts a fraction to a percentage by writing the numerator followed by the denominator
18,Laws of Indices,Calculate questions involving the power law of indices with positive integer powers,\( \left(5^{4}\right)^{3}= \),\( 5^{7} \),2524.0,Has added the powers rather than multiplying them
19,Laws of Indices,Calculate questions involving the power law of indices with positive integer powers,\( \left(5^{4}\right)^{3}= \),\( 125^{12} \),2473.0,Has cubed the base number and the power
20,Laws of Indices,Calculate questions involving the power law of indices with positive integer powers,\( \left(5^{4}\right)^{3}= \),None of these options,1921.0,Does not understand laws of indices
21,Converting between Decimals and Percentages,Convert integer percentages with 3 or more digits to decimals ,How do you write \( 803 \% \) as a decimal?,\( 0.803 \),988.0,"When converting a percentage to a decimal, just writes all the digits after a decimal point."
22,Converting between Decimals and Percentages,Convert integer percentages with 3 or more digits to decimals ,How do you write \( 803 \% \) as a decimal?,\( 8.3 \),539.0,Does not understand the value of zeros as placeholders
23,Reflection,"Describe a reflection in a diagonal line by giving the line of reflection as an equation, where the line of reflection lies on the edge or outside the object","Which line gives the reflection of shape \( P \) onto shape Q? ![A coordinate grid with two right angled triangles drawn, labelled P and Q. P has the coordinates: (2,5) (2,8) and (4,5). Q has the coordinates: (5,2) (8,2) and (5,4).]()",\( y=4.5 \),268.0,Believes lines of reflection must be vertical or horizontal
24,Reflection,"Describe a reflection in a diagonal line by giving the line of reflection as an equation, where the line of reflection lies on the edge or outside the object","Which line gives the reflection of shape \( P \) onto shape Q? ![A coordinate grid with two right angled triangles drawn, labelled P and Q. P has the coordinates: (2,5) (2,8) and (4,5). Q has the coordinates: (5,2) (8,2) and (5,4).]()",\( y=-x \),1139.0,Confuses the lines y=x and y=-x
25,Reflection,"Describe a reflection in a diagonal line by giving the line of reflection as an equation, where the line of reflection lies on the edge or outside the object","Which line gives the reflection of shape \( P \) onto shape Q? ![A coordinate grid with two right angled triangles drawn, labelled P and Q. P has the coordinates: (2,5) (2,8) and (4,5). Q has the coordinates: (5,2) (8,2) and (5,4).]()",This is not a reflection,268.0,Believes lines of reflection must be vertical or horizontal
